name,neighbourhood_cleansed,room_type,price,review_scores_rating,number_of_reviews,latitude,longitude,minimum_nights,accommodates
Appartamento Galleria Centro Storico Duomo e SMN,Centro Storico,Entire home/apt,$362.00,4.75,235,43.77110290527344,11.249262809753418,3,9
Attico super Panoramico Attrazioni in Stazione SMN,Rifredi,Entire home/apt,$149.00,4.55,105,43.78422164916992,11.247730255126951,2,6
Your house at the Duomo,Centro Storico,Entire home/apt,$492.00,4.7,455,43.7719,11.2562,1,16
"Il Melograno, Florence hills & pool & olive oil",Gavinana Galluzzo,Entire home/apt,$150.00,4.89,174,43.75217,11.23018,3,4
giardinodililly,Centro Storico,Entire home/apt,$316.00,4.66,266,43.77996,11.2543,1,11
nuovo appartamento in centro città,Centro Storico,Entire home/apt,$85.00,4.58,52,43.76845,11.24111,31,4
Spacious Family Flat Ponte Vecchio 2 Bed 2 Bath,Centro Storico,Entire home/apt,$213.00,4.91,334,43.77024,11.25399,3,6
Large room with a wonderful view!,Centro Storico,Private room,$67.00,4.63,435,43.77945,11.24085,1,2
"Spacious 3 Bedrooms, 2 Bathrooms, Parking, WiFi",Campo di Marte,Entire home/apt,,4.84,132,43.7821,11.2705,31,5
SERRA's Home - Bright Apt Statuto Area near Center,Rifredi,Entire home/apt,$135.00,4.76,34,43.78681,11.24866,2,6
L'Aranceto Guest House -Sweet Balcony room,Centro Storico,Private room,$72.00,4.6,319,43.7849235534668,11.231947898864746,1,2
Barbadori 2b near PONTE VECCHIO,Centro Storico,Entire home/apt,,4.0,5,43.76749,11.25173,3,4
Heart of Florence apartment,Centro Storico,Entire home/apt,,4.53,49,43.77475,11.24433,3,2
A central suite in a medieval tower,Centro Storico,Entire home/apt,$120.00,4.86,440,43.76703,11.25076,2,4
Santa Trinita apartment,Centro Storico,Entire home/apt,$347.00,4.8,161,43.77045,11.25141,3,7
Caratteristico 2 camere alla Basilica Santa Croce,Centro Storico,Entire home/apt,,4.83,128,43.76953,11.26257,2,6
Stufa Apartment in the heart of Florence,Centro Storico,Entire home/apt,$111.00,4.25,154,43.77597,11.25483,2,4
Cozy central flat,Campo di Marte,Entire home/apt,$108.00,4.69,26,43.768861,11.2742446,2,2
Firenze Rentals Ponte Vecchio,Centro Storico,Entire home/apt,$207.00,4.79,347,43.76858,11.25366,1,3
Camera Rossa,Campo di Marte,Private room,$105.00,5.0,1,43.795597076416016,11.283788681030272,1,2
A  Wonderful central flat,Isolotto Legnaia,Entire home/apt,$405.00,4.81,91,43.76729,11.23908,2,8
HISTORICAL MANSION IN FLORENCE 3,Centro Storico,Entire home/apt,$232.00,4.94,17,43.7736,11.26676,3,2
Zannoni Loft - Historic center close train station,Centro Storico,Entire home/apt,$149.00,4.59,391,43.77669,11.25214,2,6
"Crystal Suite,chic ap in the centre",Centro Storico,Entire home/apt,$158.00,4.89,177,43.77199,11.25037,3,4
Affitasi Loft studio nel cuore di Firenze.,Centro Storico,Entire home/apt,$48.00,4.71,947,43.76882,11.2416,1,2
Lovely house for your journey.,Campo di Marte,Entire home/apt,$143.00,4.8,89,43.77621,11.2728,3,4
Super views & Terrace Central Ponte Vecchio 3 bdr,Centro Storico,Entire home/apt,$569.00,5.0,12,43.7673257,11.2524843,2,5
NEW ! Apartment View- San Marco -  WI-FI  Free,Centro Storico,Entire home/apt,$202.00,4.89,311,43.77748186945761,11.258642639547206,2,4
Design and comfort in the center,Centro Storico,Entire home/apt,$107.00,4.72,368,43.77387,11.24352,3,2
Bedandview Suite with a view Florence centre.,Centro Storico,Entire home/apt,$128.00,4.95,499,43.77128,11.26423,3,2
Fiesolana lovely studio in the center,Centro Storico,Entire home/apt,$75.00,4.82,419,43.77332546134383,11.263719558715817,1,1
NEW* ARTIST'S STUDIO DUOMO,Centro Storico,Entire home/apt,$90.00,4.77,734,43.77134,11.25928,2,4
BEAUTIFUL AND ELEGANT APARTMENT,Centro Storico,Entire home/apt,$450.00,4.93,165,43.77198,11.25431,3,6
APARTMENT IN THE HISTORIC CENTER OF FLORENCE,Centro Storico,Entire home/apt,$77.00,4.77,401,43.76426,11.25828,1,4
Elegant and large double room,Rifredi,Private room,$29.00,4.75,8,43.79299,11.21592,31,1
FIRENZE PONTE VECCHIO LUNGARNO,Centro Storico,Entire home/apt,$109.00,4.63,346,43.76416,11.25762,1,5
Camera Blu,Campo di Marte,Private room,$165.00,4.71,7,43.79171371459961,11.286922454833984,1,3
Camera Verde,Campo di Marte,Private room,$98.00,4.6,5,43.79171371459961,11.286922454833984,1,2
Appartamento Centralissimo,Centro Storico,Entire home/apt,$112.00,4.88,168,43.77203,11.25695,5,4
"☆Central Market Square ""Panicale""☆",Centro Storico,Entire home/apt,$65.00,4.85,109,43.77762,11.25396,60,4
Casina  nell' Oltrarno,Centro Storico,Private room,$70.00,4.86,244,43.76216,11.24409,2,2
Apartment near station and Duomo,Centro Storico,Entire home/apt,$180.00,4.74,89,43.77738,11.25496,1,5
Beccaria Suite Firenze,Campo di Marte,Entire home/apt,$217.00,4.63,254,43.7698,11.27638,31,4
❤️Amo & Flo Apartment next to Central Market⚜,Centro Storico,Entire home/apt,$160.00,4.74,39,43.78142,11.25726,2,4
Marte suite & Venere suite!,Centro Storico,Entire home/apt,$405.00,5.0,4,43.77605,11.25618,3,8
Ampia Camera Centro Storico,Centro Storico,Private room,$60.00,4.6,15,43.77974,11.25452,31,1
Ampia Camera Centro Storico,Centro Storico,Private room,$60.00,4.88,8,43.78079,11.25549,31,1
Ampia Camera Centro Storico,Centro Storico,Private room,$60.00,4.5,4,43.77855,11.25597,31,1
Ampia Camera Centro Storico,Centro Storico,Private room,$60.00,4.67,6,43.78058,11.25469,31,1
Ampia Camera Centro Storico,Centro Storico,Private room,$60.00,4.92,13,43.78052,11.25528,31,1
Romantic Oltrarno garden apartment,Centro Storico,Entire home/apt,$112.00,4.98,40,43.7642,11.24754,2,2
Tornabuoni Tower,Centro Storico,Entire home/apt,$108.00,4.75,205,43.77113,11.24986,7,4
panoramic room and private bathroom,Centro Storico,Private room,$65.00,4.64,408,43.77958,11.23947,1,1
Quiet Non-Touristy S. Spirito Area w. Grand Piano,Centro Storico,Entire home/apt,$195.00,4.9,49,43.76496,11.24541,3,4
san frediano studio flat,Centro Storico,Entire home/apt,$87.00,4.54,267,43.77004,11.2406,2,3
Casa Duccio,Centro Storico,Entire home/apt,$143.00,4.93,80,43.779946899787255,11.243548249439929,3,4
Orsanmichele,Centro Storico,Entire home/apt,$102.00,4.86,85,43.77018,11.25416,31,3
Pitti Apartment near Old Bridge C&G,Centro Storico,Entire home/apt,$210.00,4.72,222,43.76709,11.25034,2,4
Leone Apartment San Frediano,Centro Storico,Entire home/apt,$107.00,4.83,372,43.76789,11.24097,3,4
"""Marte Suite"" *Centrally located! A/C - WiFi!*",Centro Storico,Entire home/apt,$199.00,4.98,123,43.77728,11.2559,3,4
Amazing view of Ponte Vecchio!,Centro Storico,Entire home/apt,,4.96,336,43.7678,11.25169,3,4
your home in Florence,Centro Storico,Entire home/apt,$66.00,4.73,257,43.77262,11.26244,3,2
Charming House with garden in the City centre,Centro Storico,Private room,$49.00,4.75,72,43.77638,11.26309,31,2
"Camera ampia, bella e ben arredata.",Campo di Marte,Private room,$71.00,4.98,42,43.76616,11.27728,7,1
Old Style Apartment near Duomo 301,Centro Storico,Entire home/apt,,4.45,11,43.7739143371582,11.257590293884276,2,4
Florentine Cavour upper-level suite near Duomo,Centro Storico,Entire home/apt,$156.00,4.74,351,43.77534,11.25619,2,4
"Flat w.courtyard, heart of Florence",Centro Storico,Entire home/apt,$112.00,4.74,111,43.77953,11.25565,3,4
"Charming house in Florence, Gelsomino",Campo di Marte,Entire home/apt,$135.00,4.76,54,43.7794,11.31026,4,4
Apritisesamo Double Room Blue,Campo di Marte,Private room,$35.00,4.42,289,43.79009,11.27192,15,2
Fabulous Uffizi Apartment,Centro Storico,Entire home/apt,$145.00,4.29,95,43.76973,11.25604,2,4
Bilocale in centro a Firenze,Centro Storico,Entire home/apt,$75.00,4.38,42,43.78099,11.26098,7,2
Capponcina Apartment,Centro Storico,Entire home/apt,$135.00,4.88,172,43.77721,11.26203,3,4
CARLA'S FLAT,Centro Storico,Entire home/apt,$124.00,4.93,74,43.77378,11.25469,4,4
Pandolfini Suite near SANTA CROCE,Centro Storico,Entire home/apt,$163.00,4.5,10,43.77091,11.26096,3,2
Accogliente e confortevole!Ora+vicino con linea T2,Rifredi,Private room,$70.00,4.92,222,43.79152,11.22036,3,2
"Florence, next to the Pontevecchio",Centro Storico,Entire home/apt,$135.00,4.89,95,43.76607,11.25126,3,4
New! Quiet apartment with terrace.,Centro Storico,Entire home/apt,$135.00,4.86,228,43.76913833618164,11.265822410583496,2,2
Santa Felicita,Centro Storico,Entire home/apt,$241.00,4.4,5,43.76622,11.25301,1,4
Dimora San Giovanni,Centro Storico,Entire home/apt,$168.00,4.57,150,43.76975,11.24072,2,8
NEW!! Sprone Suite,Centro Storico,Entire home/apt,$104.00,4.85,452,43.76621,11.25003,2,4
Appartamento  Indipendenza,Centro Storico,Entire home/apt,$91.00,4.91,103,43.77975,11.2522,3,4
Immerso nel verde di Firenze,Rifredi,Entire home/apt,$83.00,4.53,34,43.80906,11.25421,2,5
DUOMO APARTMENT - city center,Centro Storico,Entire home/apt,$128.00,4.56,81,43.77562,11.25772,31,4
terrace apartment in santo spirito district,Centro Storico,Entire home/apt,$138.00,4.75,539,43.76602,11.24541,4,4
San Miniato Guelfo,Centro Storico,Entire home/apt,,,0,43.76373,11.26163,3,4
Wp Relais Renaissance Retreat,Centro Storico,Entire home/apt,$362.00,4.73,102,43.7699,11.25668,3,5
Vigna Nuova 3b near ARNO RIVER,Centro Storico,Entire home/apt,$275.00,4.55,29,43.77111,11.24893,3,8
Wp Relais appartamento Dante,Centro Storico,Entire home/apt,$299.00,4.84,77,43.77188,11.24945,3,4
Appartamento Botticelli,Centro Storico,Entire home/apt,$309.00,4.82,44,43.77108,11.24888,3,6
Donatello WP Relais apartment in the center,Centro Storico,Entire home/apt,$246.00,4.89,97,43.77186,11.2467,3,4
Casa Pepi - Great location near Duomo and St Croce,Centro Storico,Entire home/apt,$143.00,4.77,103,43.77316,11.26458,2,4
"Santa Croce, cozy fine restructured",Centro Storico,Entire home/apt,$140.00,4.91,85,43.76756,11.26445,31,4
A little gem in the Florence heart,Centro Storico,Entire home/apt,$66.00,5.0,4,43.77137,11.2509,90,1
nice room in a very cosy apartment,Campo di Marte,Private room,$43.00,4.97,149,43.78143,11.27628,5,2
Parione 1b off Via Tournabouni,Centro Storico,Entire home/apt,,4.5,6,43.77074,11.24975,3,4
Pepi Loft 2b in SANTA CROCE,Centro Storico,Entire home/apt,$339.00,4.0,2,43.77253,11.26415,3,4
"THE LOFT!200sqm,w\coffered ceilings,4 guests",Centro Storico,Entire home/apt,$277.00,4.88,56,43.77113,11.2485,3,4
La Gabbia del Grillo <Anna Maria> (A-04),Centro Storico,Entire home/apt,$265.00,4.84,361,43.77342,11.259,1,2
La Tranquilla –Your quiet stay with a cozy terrace,Centro Storico,Entire home/apt,$319.00,4.8,162,43.77146,11.25924,2,6
Bright Spacious Oltrarno Home,Isolotto Legnaia,Entire home/apt,$151.00,4.44,79,43.77144,11.23324,60,4
Oltrarno Home in the Historic Center and Wi-Fi!,Centro Storico,Entire home/apt,,4.83,259,43.76841,11.24605,31,4
Ponte Vecchio Luxury II,Centro Storico,Entire home/apt,,4.49,95,43.76656,11.2521,2,5
Top Location in the middle of everything,Centro Storico,Entire home/apt,$200.00,4.55,103,43.77468,11.25311,2,8
"""IL GUELFO"" bilocale  PONTE VECCHIO",Centro Storico,Entire home/apt,$107.00,4.87,775,43.76745,11.25229,1,3
"Apartment ""Il Borghetto""",Campo di Marte,Entire home/apt,$102.00,4.89,326,43.78385,11.26654,2,2
"Historic Cavallereschi Flat, 2 Bedrooms, 3 Baths",Centro Storico,Entire home/apt,$266.00,4.85,253,43.77014,11.2544,2,4
"""il ghibellino"" apt Ponte Vecchio",Centro Storico,Entire home/apt,$144.00,4.86,748,43.76733,11.25217,1,3
Old barn  The Nepitella,Gavinana Galluzzo,Entire home/apt,$171.00,4.84,272,43.73655,11.22004,2,4
New! The location is well-served with railway connections,Centro Storico,Entire home/apt,$98.00,4.84,332,43.7789,11.23784,3,3
"Casallegria, SM Novella station",Centro Storico,Entire home/apt,$85.00,4.87,265,43.77774,11.25187,4,2
Experience the Renaissance 2,Centro Storico,Entire home/apt,$180.00,4.93,96,43.76738,11.25923,3,4
Casa dell'artista con giardino,Campo di Marte,Entire home/apt,$217.00,4.93,184,43.77765,11.26984,3,4
SantaCroce Deluxe  BabySuite,Centro Storico,Entire home/apt,$168.00,4.95,463,43.76915015225694,11.26048271032588,3,2
Lovely Apartament in the heart of florence,Centro Storico,Entire home/apt,$112.00,4.69,52,43.7687873840332,11.258374214172363,1,3
Casa Desiderio a Settignano Appartamento indipend,Campo di Marte,Entire home/apt,$71.00,4.86,153,43.78402,11.324,3,4
Moderno fantastico design di fronte a Santa Croce.,Centro Storico,Entire home/apt,$157.00,4.89,462,43.76946258544922,11.260486602783203,1,4
C - Appartamenti CORSO 3 - Centro con VISTA DUOMO,Centro Storico,Entire home/apt,$135.00,4.66,736,43.77151,11.25691,1,2
Unique apartment on the Arno river,Centro Storico,Entire home/apt,$139.00,4.94,144,43.77313,11.24268,31,2
Attico in Palazzo antico vista mozzafiato,Centro Storico,Entire home/apt,$320.00,4.64,199,43.76885,11.26005,3,5
Mara's Nest,Centro Storico,Entire home/apt,$77.00,4.66,85,43.77395,11.24626,31,2
"Appartamento ""Il Melograno""",Isolotto Legnaia,Entire home/apt,$71.00,4.77,31,43.76691,11.23835,31,4
Lrg apt & terrace 15' walking distance to the Dome,Campo di Marte,Entire home/apt,$84.00,4.72,103,43.78492,11.26514,13,8
Accademia – Stylish comfort with a bright design,Centro Storico,Entire home/apt,$300.00,4.86,181,43.781,11.25918,2,6
Quiet townhouse in the city center,Centro Storico,Entire home/apt,$89.00,4.95,671,43.77771,11.23952,2,3
OFF exVigna 8- 1 Bdr Apt in Florence,Centro Storico,Entire home/apt,"$5,900.00",4.67,257,43.7713737487793,11.250115394592283,1,4
JR HOME firenze,Centro Storico,Entire home/apt,$132.00,4.81,54,43.77278,11.24441,2,4
[Uffizi - Signoria]  Urban Neri street,Centro Storico,Entire home/apt,,4.7,263,43.767948,11.25883,2,2
In the heart of the historical center,Centro Storico,Entire home/apt,$170.00,4.6,246,43.76858139038086,11.257070541381836,1,4
"Santa Croce, a wonderful apartment.",Centro Storico,Entire home/apt,$40.00,4.87,150,43.76788,11.26302,31,4
A Casa di Sara pressi Stazione,Centro Storico,Entire home/apt,$123.00,4.47,212,43.77872,11.24362,2,4
Apartment Indipendenza Garden,Centro Storico,Entire home/apt,$88.00,4.87,91,43.78097,11.25245,3,4
Ponte Vecchio up to 4,Centro Storico,Entire home/apt,,4.63,24,43.76685,11.25221,31,4
Terrazza su Sant'Ambrogio,Centro Storico,Entire home/apt,$158.00,4.93,191,43.76985,11.26657,3,3
The Tiny Pinti,Centro Storico,Entire home/apt,$114.00,4.62,133,43.77093,11.26149,2,2
Beautiful Apartment in Ponte Vecchio,Centro Storico,Entire home/apt,$213.00,4.89,516,43.76756,11.25263,2,5
Il Mandorlo B&B,Centro Storico,Private room,$135.00,4.5,10,43.78704,11.23369,2,3
New apartment & private Parking,Rifredi,Entire home/apt,$112.00,4.88,744,43.78772,11.22738,1,2
New apartment with swimming pool,Campo di Marte,Entire home/apt,$125.00,5.0,9,43.81512069702149,11.279789924621582,3,3
Wonderful balcony in Florence,Campo di Marte,Entire home/apt,$254.00,4.87,119,43.77065,11.27842,3,4
La Casa del Giullare,Centro Storico,Entire home/apt,$104.00,4.92,343,43.77576,11.26231,2,2
STAY in FLORENCE S. Maria Novella,Centro Storico,Entire home/apt,$611.00,4.35,23,43.77937,11.24339,3,9
FANTASTIC APARTMENT NORTH FLORENCE !,Rifredi,Entire home/apt,$68.00,4.86,227,43.79782,11.17377,2,4
Cozy studio in historical center,Centro Storico,Entire home/apt,$139.00,4.82,435,43.77539,11.25154,2,2
M&B HOUSE 4 - Center of Firenze,Centro Storico,Private room,$83.00,4.7,610,43.7811,11.24559,2,2
Huge Apartment With Monument View,Centro Storico,Entire home/apt,,5.0,2,43.774834,11.252489,4,8
M&B HOUSE 1 - Santa Maria Novella,Centro Storico,Private room,$84.00,4.73,620,43.78116,11.24328,2,2
Apartment in the very center!,Centro Storico,Entire home/apt,$103.00,4.76,337,43.77569,11.25158,2,2
Apartment in Central Market Square,Centro Storico,Entire home/apt,$72.00,4.72,155,43.77692,11.25331,3,2
Splendido appartamento nel cuore dell'Oltrarno.,Centro Storico,Entire home/apt,$211.00,4.85,123,43.76501,11.24689,3,2
Castellani Apartment,Centro Storico,Entire home/apt,$106.00,4.27,211,43.76917,11.25697,2,3
Romanticamente Campuccio,Centro Storico,Entire home/apt,$97.00,4.81,36,43.76564,11.24429,2,4
M&B HOUSE 3 - Center of Florence,Centro Storico,Private room,$85.00,4.69,612,43.78136,11.24471,2,2
M&B HOUSE 2 - Center of Florence,Centro Storico,Private room,$64.00,4.74,707,43.77958,11.24476,2,1
A nest in the heart of Firenze,Centro Storico,Entire home/apt,$171.00,4.93,195,43.76954,11.26044,2,4
New !Homey Alfani lodging .,Centro Storico,Entire home/apt,$137.00,4.79,107,43.77588,11.2593,3,5
100m. piazza Signoria apartment,Centro Storico,Entire home/apt,$132.00,4.93,30,43.768618,11.258103,3,3
I Fiori di Adele-central new apt(with lift),Centro Storico,Entire home/apt,$132.00,4.89,190,43.78047561645508,11.25635814666748,2,4
Horti Annalenae,Centro Storico,Entire home/apt,$369.00,4.91,394,43.76311,11.24438,2,6
Apartment 27 | Cozy Retro Stay in the City Center,Centro Storico,Entire home/apt,$139.00,4.91,169,43.78122,11.26076,3,4
Deliziosa Casina Ponte Vecchio,Centro Storico,Entire home/apt,$35.00,4.81,68,43.76531,11.25532,365,3
LUXURY APT IN THE CITY CENTER,Centro Storico,Entire home/apt,$172.00,4.88,235,43.76737,11.25128,2,4
Serragli TERRACE with 360' views!,Centro Storico,Entire home/apt,$254.00,4.62,50,43.76785,11.24585,3,4
Francesco,Centro Storico,Entire home/apt,$226.00,4.8,46,43.7702,11.26216,3,4
ANGUILLARA - Huge flat in the heart of Florence,Centro Storico,Entire home/apt,$280.00,4.69,26,43.76889,11.25699,1,6
Nuovissimo bilocale fuori porta,Gavinana Galluzzo,Entire home/apt,$126.00,4.8,5,43.74012,11.23335,1,4
Tipical Central Flat,Centro Storico,Entire home/apt,$76.00,4.82,89,43.78041,11.25636,2,4
Keys of Italy -Pilastri-Central Studio with Patio,Centro Storico,Entire home/apt,$270.00,4.52,88,43.772159576416016,11.265982627868652,1,4
S.MariaNovella Unique View Near the Station & Dome,Centro Storico,Entire home/apt,$199.00,4.8,456,43.7739486694336,11.249314308166504,2,4
[DUOMO★★★★★] Elegant Apartment with Balcony,Centro Storico,Entire home/apt,$155.00,4.84,455,43.7737,11.24914,2,3
Pergola Renaissance Apartment,Centro Storico,Entire home/apt,$84.00,4.73,26,43.77456,11.26188,4,4
Ponte Vecchio Flat,Centro Storico,Entire home/apt,$118.00,4.61,137,43.76744,11.25195,2,2
AM Collection Florence,Centro Storico,Hotel room,$157.00,4.91,364,43.77239,11.2499,2,2
"Beautiful,comfortable in the center",Centro Storico,Entire home/apt,$280.00,4.67,9,43.75992,11.24154,3,5
AM Collection Florence,Centro Storico,Hotel room,$157.00,4.89,377,43.77239,11.2499,2,2
AM Collection Florence,Centro Storico,Hotel room,$157.00,4.94,322,43.7723,11.25005,2,2
15 min from the centre of Florence with parking,Rifredi,Entire home/apt,$75.00,4.82,585,43.79366,11.22102,2,4
AM Collection Florence,Centro Storico,Hotel room,,4.94,321,43.77239,11.2499,2,2
Creativity in the heart of Florence,Isolotto Legnaia,Entire home/apt,$162.00,4.86,235,43.77165,11.23405,2,6
Modern home in downtown Florence,Centro Storico,Entire home/apt,$300.00,4.93,361,43.76626,11.24875,3,5
APARTMENT IN THE HEART OF FLORENCE,Centro Storico,Entire home/apt,$138.00,4.94,243,43.76804,11.25811,3,4
LA CASA DI SCARLETT - NEW LOOK,Campo di Marte,Private room,$84.00,4.79,75,43.77249,11.27636,3,2
SINGLE BEDROOM IN THE CITY CENTER,Centro Storico,Private room,$36.00,4.79,612,43.78076,11.25751,3,1
single bedroom,Centro Storico,Private room,$30.00,4.68,661,43.78,11.25792,3,1
San Lorenzo Ariento Apartment SMN Station/Duomo,Centro Storico,Entire home/apt,$170.00,4.85,709,43.77634,11.25153,2,6
Exclusive Guicciardini Suite,Centro Storico,Entire home/apt,,4.19,85,43.76746,11.25088,31,4
A Firenze SerenaMente,Rifredi,Private room,$49.00,4.7,30,43.81178020307725,11.231931897425508,2,2
Appartamento (AC) nel cuore di Firenze,Centro Storico,Entire home/apt,,4.55,116,43.77213,11.26661,31,3
via dell'Ariento room,Centro Storico,Private room,,4.12,92,43.77618,11.25328,5,2
Firenze: CASA Terratetto indipendente,Rifredi,Entire home/apt,$70.00,,0,43.79844,11.23892,32,3
Renaissance Palace in Santa Croce,Centro Storico,Entire home/apt,$596.00,4.88,112,43.76767,11.26184,3,8
A cosy apt in the heart of Florence,Centro Storico,Entire home/apt,$153.00,4.91,159,43.78101,11.25513,2,3
Bright flat in Florence Oltrarno. Self check-in.,Centro Storico,Entire home/apt,$158.00,4.93,349,43.76899,11.24194,3,4
Suite Michelangelo with Terrace,Gavinana Galluzzo,Entire home/apt,$171.00,4.97,405,43.7633,11.27464,2,6
Cozy and modern open space,Centro Storico,Entire home/apt,$95.00,4.82,245,43.76345,11.24006,2,4
Central and sunny place in Florence,Centro Storico,Private room,$90.00,4.85,472,43.76735,11.26236,2,2
"Cozy & Quiet Typical Central Apartment, Balcony",Centro Storico,Entire home/apt,$124.00,4.81,281,43.76398,11.24493,2,2
X-large apartment in the hearth of Florence!,Centro Storico,Entire home/apt,$633.00,4.87,125,43.77256,11.26415,2,12
Il Giglio Apartment - Santa Croce,Centro Storico,Entire home/apt,$100.00,4.9,180,43.77138,11.26109,2,4
Central Florence apartment (sleeps 8 people),Centro Storico,Entire home/apt,,4.62,45,43.7738,11.26903,31,7
Exclusive Loft in Florence 5min from Cathedral,Centro Storico,Entire home/apt,$182.00,4.68,68,43.77652,11.25472,2,6
"Renovated Studio with View on Florence, terrace",Centro Storico,Entire home/apt,$105.00,4.76,46,43.78113,11.26042,2,2
LA CUPOLA 2BR 1LVR 2BTH Apartament,Centro Storico,Entire home/apt,$146.00,4.91,47,43.77307,11.25693,2,6
Hawaii Apartment - aeroporto,Rifredi,Entire home/apt,$60.00,,0,43.79707,11.21143,2,4
Vittoria Apartment,Rifredi,Entire home/apt,$111.00,4.5,92,43.78572,11.25264,4,5
LA CUPOLA the dome,Centro Storico,Entire home/apt,$228.00,4.95,171,43.77238,11.25625,2,6
Boutique Style Charming Apartment !  ( Sanitized ),Centro Storico,Entire home/apt,$113.00,4.71,366,43.76907,11.24613,3,3
Charming and quiet loft with garden,Centro Storico,Entire home/apt,$165.00,4.96,433,43.76856,11.26383,3,3
FLORENCE PITTI LOFT,Centro Storico,Entire home/apt,$312.00,4.91,11,43.766277,11.249222,1,4
Liza & Filippo Florence Home,Centro Storico,Entire home/apt,$200.00,4.77,35,43.78076,11.25514,120,2
Ponte Vecchio Uffizi Charming Flat,Centro Storico,Entire home/apt,,4.81,165,43.76703,11.25897,1,4
Stanza affreschi - Borgo Ponte,Gavinana Galluzzo,Private room,$152.00,5.0,2,43.74104,11.20782,3,4
Stanza dei fiori - Borgo Ponte,Gavinana Galluzzo,Private room,$171.00,5.0,1,43.7414,11.20822,3,4
♡Suite Tornabuoni,Centro Storico,Entire home/apt,,4.64,347,43.77028,11.25165,2,4
Lovely apartment+ location = THE perfect getaway!,Centro Storico,Entire home/apt,$160.00,4.79,42,43.77694,11.25289,31,2
Splendid in the heart of Florence,Centro Storico,Entire home/apt,$175.00,4.82,62,43.76813,11.24582,2,7
Free Parking - Superb Apartment Hystorical center,Centro Storico,Entire home/apt,$414.00,4.81,16,43.77015686035156,11.245720863342283,2,4
In the heart of Florence steps from the Duomo,Centro Storico,Entire home/apt,$167.00,4.96,465,43.77359,11.25596,2,4
Firenze spaziosa e tranquilla,Campo di Marte,Private room,$45.00,4.88,93,43.78918,11.27394,3,2
"Calzaioli Apartment, in the heart of downtown",Centro Storico,Entire home/apt,,3.33,3,43.77029,11.25623,2,3
Terrazza fiorita in S. Croce,Centro Storico,Entire home/apt,$248.00,4.93,251,43.77134704589844,11.263439178466797,3,2
A casa di Anto accoglienza e charme,Campo di Marte,Entire home/apt,$72.00,5.0,13,43.78278,11.27963,15,4
Ramaglianti suite ponte vecchio,Centro Storico,Entire home/apt,$150.00,4.56,16,43.76665,11.2508,3,4
Via della Chiesa Apartment,Centro Storico,Entire home/apt,$108.00,4.82,114,43.76486,11.24625,3,5
Lovely apartment in the city centre,Centro Storico,Entire home/apt,$101.00,4.57,579,43.77177,11.26577,2,2
Diladdarno Guest House,Centro Storico,Entire home/apt,$115.00,4.87,306,43.7691,11.24068,2,6
Camera San Lorenzo,Centro Storico,Private room,,4.41,159,43.77481,11.25496,5,2
"Dimora Pieri- Strozzi Apartment, San Frediano",Centro Storico,Entire home/apt,$172.00,5.0,1,43.76619,11.24461,2,2
Chiara & Simone 's house,Centro Storico,Entire home/apt,$202.00,4.88,747,43.77858629929801,11.259177950068006,2,4
Bright room in the historic centre/Tram connected,Centro Storico,Private room,$87.00,4.65,562,43.77725,11.25891,1,2
Dimezzo Apartment by Mamo Florence,Centro Storico,Entire home/apt,$107.00,4.4,93,43.77542,11.24551,1,4
Secondino Apartment by Mamo Florence,Centro Storico,Entire home/apt,$118.00,4.53,102,43.77362,11.24424,1,4
Lacorte Apartment by Mamo Florence,Centro Storico,Entire home/apt,$143.00,4.28,61,43.77513,11.244,1,4
living the true Florence,Centro Storico,Entire home/apt,$137.00,4.86,7,43.76979,11.2415,3,6
"Quiet room,close to David Museum/ Tram connected",Centro Storico,Private room,$76.00,4.71,544,43.7768,11.25853,1,2
La Magnifica– A Vogue-featured exclusive penthouse,Rifredi,Entire home/apt,$656.00,4.85,194,43.78392,11.25718,2,11
Sunny top floor in San Frediano,Isolotto Legnaia,Entire home/apt,$118.00,4.8,239,43.7699,11.23793,2,4
Monolocale storico in oltrarno,Centro Storico,Entire home/apt,$102.00,4.55,274,43.76517,11.24489,2,2
"☆Central Market Experience ""Caterina"" Suite☆",Centro Storico,Entire home/apt,$75.00,4.85,150,43.77695,11.2537,30,2
CASARMONIA,Isolotto Legnaia,Entire home/apt,$113.00,4.73,101,43.77177,11.23674,2,4
Star Loft Florence,Campo di Marte,Entire home/apt,$189.00,4.73,156,43.785,11.26402,2,6
In the Heart of Florence with Style,Centro Storico,Entire home/apt,$139.00,4.97,602,43.77287,11.26067,3,2
Palazzo Alfani Residence  - Classic apartment 2,Centro Storico,Entire home/apt,$266.00,5.0,25,43.7771,11.25845,2,3
Basic room with shared bathroom,Centro Storico,Private room,,4.52,107,43.78179,11.25616,1,2
Piazza dei Ciompi near the Duomo,Centro Storico,Entire home/apt,$109.00,4.79,111,43.77086,11.26614,4,2
Vicino al Duomo/Piazza dei Ciompi,Centro Storico,Entire home/apt,$92.00,4.64,100,43.77167,11.26406,5,4
PEPI HOME in the heart of Florence,Centro Storico,Entire home/apt,,4.93,208,43.77089,11.2641,31,2
Ginori Residence - Italian Nights Collection,Centro Storico,Entire home/apt,$157.00,4.85,135,43.77699,11.25635,2,4
Acacia Firenze - Cumino,Centro Storico,Entire home/apt,$138.00,4.74,172,43.77539,11.25403,3,2
