name,neighbourhood_cleansed,room_type,price,review_scores_rating,number_of_reviews,latitude,longitude,minimum_nights,accommodates
Florence Holiday Homes - Ponte Vecchio,Centro Storico,Entire home/apt,$106.00,4.82,524,43.76584,11.2544,1,2
New Appartment River Front,Isolotto Legnaia,Entire home/apt,$162.00,5.0,3,43.77278,11.23709,31,2
Florence Historic center - Tuscany,Centro Storico,Entire home/apt,$90.00,4.71,205,43.77225,11.24849,5,6
BRIGHT & COZY APT IN MOST AUTHENTIC NEIGHBOURHOOD,Centro Storico,Entire home/apt,$180.00,4.94,33,43.76506,11.24467,31,2
"Central, quiet near the Old Bridge",Centro Storico,Entire home/apt,$103.00,4.63,27,43.76554,11.2586,1,3
Florence Gioberti Suite.,Campo di Marte,Entire home/apt,$161.00,4.55,50,43.77069,11.27713,4,4
LOFT PANDO S.CROCE FLORENCE CENTER,Centro Storico,Entire home/apt,$161.00,4.63,76,43.77178,11.26133,4,4
romantic apt in San Frediano,Centro Storico,Entire home/apt,$71.00,4.26,136,43.76778,11.24119,2,4
"Charming, bright apartment 5minutes from the Dome",Centro Storico,Entire home/apt,$212.00,4.84,98,43.77187347412109,11.261885643005373,2,3
"LOVELY,GARDEN,3MINS TO CENTER VIATRAMVIA",Rifredi,Entire home/apt,$170.00,4.91,60,43.78437938421835,11.253579331814272,2,4
B&B FORTEZZA FIORENTINA DOUBLE/TWIN BEDS ROOM,Centro Storico,Hotel room,$93.00,4.73,129,43.77958,11.24487,2,2
Bright Apartment on 2 levels,Centro Storico,Entire home/apt,$106.00,4.62,439,43.77318,11.24431,2,3
beautiful studio in the city center,Centro Storico,Entire home/apt,$67.00,4.8,47,43.76786,11.25178,2,2
Raffaello stanza privata con AC,Centro Storico,Private room,,4.75,16,43.76545333862305,11.258498191833496,3,2
Stella apartment at the Duomo,Centro Storico,Entire home/apt,$139.00,4.67,111,43.772,11.26142,3,4
CORTE D'ARNOLFO AMBRA APARTMENT,Campo di Marte,Entire home/apt,$97.00,4.99,94,43.76796,11.2714,2,4
room in the middle of the central,Centro Storico,Private room,$44.00,4.78,551,43.77022,11.2561,2,2
Room with  View,Campo di Marte,Private room,$67.00,4.85,620,43.77296447753906,11.285463333129885,2,2
Florence Oltrarno San Frediano,Centro Storico,Entire home/apt,$114.00,4.8,77,43.769016,11.241931,7,2
"""The Ancient Fiesolana"" - Light & Brightness -",Centro Storico,Entire home/apt,$170.00,4.68,130,43.7723,11.2616,2,4
B&B Cimabue 9,Campo di Marte,Entire home/apt,$964.00,5.0,4,43.76736,11.27223,1,10
"""al parco della musica"" with covered car place",Centro Storico,Entire home/apt,$109.00,4.92,179,43.78118,11.23266,3,4
Ellen house soul space in the city,Centro Storico,Entire home/apt,$157.00,4.79,222,43.7733,11.24754,3,6
The Swallows' Lodge,Campo di Marte,Entire home/apt,$112.00,4.78,229,43.76813583209722,11.280788866715431,2,4
A CASA MIA,Campo di Marte,Private room,$980.00,4.8,80,43.76999,11.30511,300,2
Borgo Pinti in center of Florence,Centro Storico,Entire home/apt,$119.00,4.81,222,43.77299,11.26279,3,2
"The smallest hostel of Florence, Nemoland",Centro Storico,Private room,$146.00,4.82,765,43.77531,11.25456,1,4
San nicolino house the quite street,Centro Storico,Entire home/apt,$133.00,4.82,78,43.764389,11.261067,3,3
Appartamento DUOMO a Firenze,Centro Storico,Entire home/apt,,4.35,151,43.77453,11.25684,1,3
DANTE Apartment mq.85,Centro Storico,Entire home/apt,$183.00,4.09,49,43.77438,11.2567,2,7
Your cosy home in Florence,Campo di Marte,Private room,$64.00,4.54,102,43.76908,11.28026,3,2
Newly Refurbished in the Middle of the Center,Centro Storico,Entire home/apt,$182.00,4.86,401,43.7681,11.2564,2,4
Studio P.zza del Carmine2 S.Spirito,Centro Storico,Entire home/apt,$90.00,4.66,56,43.7689,11.24409,4,3
Firenze Rentals Mini Corso 12,Centro Storico,Entire home/apt,$160.00,4.78,572,43.77203,11.25575,1,2
Florence Centrally Located Loft,Centro Storico,Entire home/apt,,4.43,35,43.77525,11.25259,2,2
Oro 2 bdr with Terrace on Ponte Vecchio,Centro Storico,Entire home/apt,$234.00,4.84,187,43.7686,11.25324,3,4
"Magic Terrace on  Ponte Vecchio, amazing view!",Centro Storico,Entire home/apt,$205.00,4.93,162,43.76752,11.25266,3,4
Charming singleroom XIX century apt,Campo di Marte,Private room,$60.00,4.86,22,43.77893,11.26936,3,1
Nice Quiet in the Heart of Florence,Centro Storico,Entire home/apt,$61.00,4.89,229,43.76957,11.26455,2,4
Little Patio,Centro Storico,Entire home/apt,$199.00,4.97,531,43.77211,11.26442,2,4
Apartment with garden and view,Campo di Marte,Entire home/apt,$135.00,5.0,1,43.81893,11.28034,31,6
Uva appartement,Campo di Marte,Entire home/apt,$141.00,4.74,42,43.77133,11.31963,5,4
Apartment in historical Villa in Florence country,Campo di Marte,Entire home/apt,$125.00,4.61,31,43.77119,11.31819,6,2
Nice apartement in historical Villa in Florence,Campo di Marte,Entire home/apt,$118.00,4.78,40,43.77149,11.31847,5,4
Residenza Oltrarno Guest House,Isolotto Legnaia,Entire home/apt,$302.00,4.84,19,43.77217,11.23438,1,10
Palazzo Bardi XV Century,Centro Storico,Entire home/apt,$180.00,4.92,275,43.76779,11.25987,3,4
"Lodges le Mura 'Palazzo Vecchio' wifi, ac, terrace",Centro Storico,Entire home/apt,$150.00,4.87,184,43.76196,11.24245,2,4
"Amazing apartment with sunny terrace wifi, ac",Centro Storico,Entire home/apt,$171.00,4.9,81,43.76196,11.24245,2,4
"Newly rennovated apartment with terrace, wifi, ac",Centro Storico,Entire home/apt,$144.00,4.87,96,43.76196,11.24245,2,4
"Fantastic apartment, Dome view, wifi, ac, terrace",Centro Storico,Entire home/apt,$176.00,4.92,62,43.76196,11.24245,3,5
"Lodges le Mura 'Ponte Vecchio' wifi, ac, terrace",Centro Storico,Entire home/apt,$212.00,4.84,93,43.76196,11.24245,2,4
"Lodges le Mura 'Uffizi' wifi, ac, terrace",Centro Storico,Entire home/apt,$122.00,4.9,79,43.76196,11.24245,2,4
Artful Stay in Santa Croce,Centro Storico,Entire home/apt,$105.00,4.79,68,43.76856,11.26299,14,2
Best spot: Florence historic center walk distance,Gavinana Galluzzo,Entire home/apt,$59.00,4.59,81,43.76399,11.27084,5,2
Ghibellina 2b by SANTA CROCE CATHEDRAL,Centro Storico,Entire home/apt,$335.00,4.2,10,43.76976,11.26376,3,6
La Stanza24 (Indipendent Studio),Campo di Marte,Entire home/apt,$68.00,4.84,296,43.77224696926287,11.271576560871932,2,2
TERRACE with a VIEW... FLORENCE is ALL AROUND YOU!,Campo di Marte,Entire home/apt,$162.00,4.8,113,43.78391,11.28177,2,4
Comfortable private room,Centro Storico,Private room,$85.00,4.1,102,43.77516,11.2525,1,2
Residenza Strozzi The Stables: pool garden parking,Campo di Marte,Entire home/apt,$180.00,4.8,35,43.77696,11.30987,31,4
"Residenza Strozzi the Chapel:pool, garden, parking",Campo di Marte,Entire home/apt,$180.00,4.84,111,43.7788,11.31186,31,2
FORTEZZA FIORENTINA doppia bagno in comune,Centro Storico,Hotel room,$72.00,4.53,551,43.78049,11.24462,1,2
A pochi passi da Ponte Vecchio,Centro Storico,Entire home/apt,,4.56,128,43.76795,11.25168,120,2
"Florence, wonderful apartments !!!",Isolotto Legnaia,Entire home/apt,$97.00,4.48,117,43.77306,11.19181,1,4
La Casina Country House in a Typical Tuscan Garden,Rifredi,Entire home/apt,$119.00,4.73,22,43.79713,11.25299,2,2
B&B Casa Tintori - Light Blue Room,Centro Storico,Hotel room,$180.00,4.93,28,43.76781,11.25886,1,2
Santa Croce Flat - with amazing view,Centro Storico,Entire home/apt,$177.00,,0,43.7679942,11.2604943,1,4
"""Piccolo Pepi"" - superior flat with all comforts",Centro Storico,Entire home/apt,$208.00,4.88,25,43.77291,11.26426,2,5
SuperCentral flat -Lovely terrace,Centro Storico,Entire home/apt,$86.00,4.7,153,43.76631428560038,11.243838217267042,2,4
Central apt amazing view!500m from SMN,Centro Storico,Entire home/apt,$350.00,4.72,52,43.77345,11.2436,2,6
Roof Terrace and Breathtaking View,Centro Storico,Entire home/apt,$151.00,4.9,460,43.77258,11.26095,2,4
APARTMENT BETWEEN DUOMO AND OLD BRIDGE,Centro Storico,Entire home/apt,,3.5,2,43.77109,11.25798,2,5
Lovely & Strategic Apt in Florence,Centro Storico,Entire home/apt,$110.00,4.73,147,43.77851,11.25196,2,5
Florence Ponte Vecchio Apartment,Centro Storico,Entire home/apt,$130.00,4.59,143,43.76804,11.25172,2,3
H - Old Town Guest House,Centro Storico,Private room,$96.00,4.75,620,43.7695,11.24082,2,2
"Spacious, 2 bedroom flat near city center",Rifredi,Entire home/apt,$99.00,4.51,399,43.79113,11.24646,2,4
"BB Casa Schlatter, Painter's Atelier. Room #2",Campo di Marte,Private room,$108.00,5.0,1,43.77961,11.27975,3,2
